price,assess,bdrms,lotsize,sqrft,colonial,lprice,lassess,llotsize,lsqrft
300,349.1000061,4,6126,2438,1,5.703782558,5.855358601,8.72029686,7.798933506
370,351.5,3,9903,2076,1,5.91350317,5.862209797,9.200592995,7.638198376
191,217.6999969,3,5200,1374,0,5.25227356,5.383118153,8.556413651,7.22548151
195,231.8000031,3,4600,1448,1,5.272999763,5.445875168,8.433811188,7.277938366
373,319.1000061,4,6095,2514,1,5.921578407,5.76550436,8.715224266,7.829630375
466.2749939,414.5,5,8566,2754,1,6.144775391,6.027072906,9.055556297,7.920809746
332.5,367.7999878,3,9000,2067,1,5.806639671,5.907539368,9.104979515,7.633853436
315,300.2000122,3,6210,1731,1,5.752572536,5.704449177,8.733916283,7.456454754
206,236.1000061,3,6000,1767,0,5.327876091,5.464255333,8.699514389,7.477038383
240,256.2999878,3,2892,1890,0,5.480638981,5.546348572,7.969703674,7.544332027
285,314,4,6000,2336,1,5.652489185,5.749392986,8.699514389,7.756195545
300,416.5,5,7047,2634,1,5.703782558,6.031886578,8.860357285,7.87625885
405,434,3,12237,3375,1,6.003887177,6.0730443,9.412219048,8.124150276
212,279.2999878,3,6460,1899,0,5.356586456,5.632286549,8.773385048,7.549082756
265,287.5,3,6519,2312,1,5.579730034,5.661222935,8.782476425,7.745868206
227.3999939,232.8999939,4,3597,1760,1,5.426710606,5.450609207,8.187855721,7.473069191
240,303.7999878,4,5922,2000,0,5.480638981,5.716369629,8.686429977,7.600902557
285,305.6000061,3,7123,1774,1,5.652489185,5.722277164,8.871084213,7.480992317
268,266.7000122,3,5642,1376,1,5.590987206,5.58612442,8.637993813,7.226935863
310,326,4,8602,1835,1,5.736572266,5.786897182,9.059749603,7.514799595
266,294.2999878,3,5494,2048,1,5.583496094,5.6845994,8.611412048,7.624619007
270,318.7999878,3,7800,2124,1,5.59842205,5.764564037,8.961878777,7.661056519
225,294.2000122,3,6003,1768,0,5.416100502,5.684259892,8.700015068,7.477604389
150,208,4,5218,1732,0,5.010635376,5.337538242,8.559869766,7.457032204
247,239.6999969,3,9425,1440,1,5.509388447,5.479388237,9.15112114,7.272398472
275,294.1000061,3,6114,1932,0,5.616771221,5.683919907,8.718336105,7.566310883
230,267.3999939,3,6710,1932,0,5.438079357,5.588745594,8.811354637,7.566310883
343,359.8999939,3,8577,2106,1,5.837730408,5.885826111,9.056839943,7.652545929
477.5,478.1000061,7,8400,3529,1,6.16856432,6.169819832,9.0359869,8.168769836
350,355.2999878,4,9773,2051,1,5.857933044,5.872962475,9.187378883,7.626082897
230,217.8000031,4,4806,1573,1,5.438079357,5.383577347,8.477620125,7.360739708
335,385,4,15086,2829,0,5.814130306,5.953243256,9.621522903,7.947678566
251,224.3000031,3,5763,1630,1,5.525453091,5.412984371,8.659213066,7.396335125
235,251.8999939,4,6383,1840,1,5.459585667,5.52903223,8.761393547,7.517520905
361,354.8999939,4,9000,2066,1,5.888877869,5.871836185,9.104979515,7.633369446
190,212.5,4,3500,1702,0,5.247024059,5.358942032,8.160518646,7.43955946
360,452.3999939,4,10892,2750,1,5.886104107,6.114566803,9.295783997,7.919356346
575,518.0999756,5,15634,3880,1,6.354370117,6.250168324,9.657203674,8.263590813
209.0010071,289.3999939,4,6400,1854,1,5.342339039,5.667809963,8.764053345,7.525100708
225,268.1000061,2,8880,1421,0,5.416100502,5.591360092,9.091556549,7.259116173
246,278.5,3,6314,1662,1,5.505331516,5.629417896,8.750524521,7.415777206
713.5,655.4000244,5,28231,3331,1,6.570182323,6.485245705,10.24817562,8.111027718
248,273.2999878,4,7050,1656,1,5.513428688,5.610569954,8.860782623,7.412160397
230,212.1000061,3,5305,1171,0,5.438079357,5.357058048,8.576405525,7.06561327
375,354,5,6637,2293,1,5.926926136,5.869297028,8.800415039,7.737616062
265,252.1000061,3,7834,1764,1,5.579730034,5.529825687,8.966228485,7.475339413
313,324,3,1000,2768,0,5.746203423,5.780743599,6.907755375,7.925880432
417.5,475.5,4,8112,3733,0,6.034284592,6.164366722,9.001099586,8.224967003
253,256.7999878,3,5850,1536,1,5.533389568,5.548297405,8.674197197,7.336936951
315,279.2000122,4,6660,1638,1,5.752572536,5.631928444,8.803874969,7.401231289
264,313.8999939,3,6637,1972,1,5.575949192,5.749074459,8.800415039,7.586803436
255,279.7999878,2,15267,1478,0,5.54126358,5.634075165,9.633448601,7.298445225
210,198.6999969,3,5146,1408,1,5.34710741,5.291796207,8.545974731,7.249925613
180,221.5,3,6017,1812,1,5.192956924,5.400422573,8.702343941,7.502186298
250,268.3999939,3,8410,1722,1,5.52146101,5.592478275,9.037177086,7.451241493
250,282.2999878,4,5625,1780,1,5.52146101,5.642970085,8.634976387,7.484368801
209,230.6999969,4,5600,1674,1,5.34233427,5.44111824,8.630521774,7.422971249
258,287,4,6525,1850,1,5.552959442,5.659482002,8.783395767,7.522941113
289,298.7000122,3,6060,1925,1,5.666426659,5.699440002,8.709465027,7.562681198
316,314.6000061,4,5539,2343,0,5.755742073,5.751302242,8.619568825,7.759187222
225,291,3,7566,1567,0,5.416100502,5.673323154,8.931419373,7.356918335
266,286.3999939,4,5484,1664,1,5.583496094,5.657389641,8.609589577,7.41697979
310,253.6000061,6,5348,1386,1,5.736572266,5.535758018,8.584478378,7.234177113
471.25,482,5,15834,2617,1,6.155388832,6.177944183,9.669915199,7.869783878
335,384.2999878,4,8022,2321,1,5.814130306,5.951423645,8.989943504,7.749753475
495,543.5999756,4,11966,2638,1,6.204557896,6.298213482,9.389824867,7.877776146
279.5,336.5,4,8460,1915,1,5.633002281,5.81859827,9.043104172,7.557472706
380,515.0999756,4,15105,2589,1,5.940171242,6.244360924,9.6227808,7.859026909
325,437,4,10859,2709,0,5.783825397,6.079933167,9.292749405,7.904335022
220,263.3999939,3,6300,1587,1,5.393627644,5.573673725,8.748305321,7.369600773
215,300.3999939,3,11554,1694,0,5.370637894,5.705114841,9.354786873,7.434847832
240,250.6999969,3,6000,1536,1,5.480638981,5.524257183,8.699514389,7.336936951
725,708.5999756,5,31000,3662,0,6.586171627,6.563291073,10.34174252,8.205764771
230,276.2999878,3,4054,1736,1,5.438079357,5.621487141,8.307458878,7.459338665
306,388.6000061,2,20700,2205,0,5.723585129,5.96255064,9.937889099,7.69848299
425,252.5,3,5525,1502,0,6.052089214,5.531411171,8.617038727,7.314552784
318,295.2000122,4,92681,1696,1,5.762051582,5.687653065,11.43691921,7.436028004
330,359.5,3,8178,2186,1,5.79909277,5.884714127,9.009202957,7.689828873
246,276.2000122,4,5944,1928,1,5.505331516,5.621125221,8.690137863,7.564238548
225,249.8000031,3,18838,1294,0,5.416100502,5.5206604,9.843631744,7.165493488
111,202.3999939,4,4315,1535,1,4.709530354,5.310245991,8.36985302,7.336285591
268.125,254,3,5167,1980,1,5.591453075,5.537334442,8.550047874,7.590852261
244,306.7999878,4,7893,2090,1,5.497168064,5.726195812,8.973731995,7.644919395
295,318.2999878,3,6056,1837,1,5.686975479,5.762994289,8.708805084,7.515889168
236,259.3999939,3,5828,1715,0,5.463831902,5.558371067,8.67042923,7.44716835
202.5,258.1000061,3,6341,1574,0,5.310739994,5.553347111,8.754792213,7.361375332
219,232,2,6362,1185,0,5.389071941,5.446737289,8.758097649,7.077497959
242,252,4,4950,1774,1,5.488937855,5.529428959,8.507143021,7.480992317