"","H1","H2","H3","H4","H5","H6","H7","H8","Q1","Q2","Proj1","Proj2"
"1",10,10,10,10,9.5,9.5,10,10,93.61904762,81.09756098,96.75,97
"2",10,10,10,9.9,9.5,9,10,10,76.0952381,66.46341463,96.5,86
"3",10,10,9.5,10,9.5,10,10,10,86.38095238,85.36585366,95,95
"4",10,10,10,10,10,10,10,9.8,83.07692308,98.93,95,94.5
"5",10,10,10,10,9.5,9.5,10,10,91.9047619,95.12195122,94.5,91
"6",10,10,9.8,9.9,9.9,10,10,10,93.05263158,93.01470588,94.8,94.7
"7",10,10,10,10,10,10,9.9,10,94.23076923,93.6,93,93.17
"8",9.5,10,10,10,9.9,10,10,10,88.84210526,85.29411765,95,95.3
"9",9.5,9.9,10,10,10,9.5,10,10,87.61904762,85.97560976,94.5,91
"10",10,10,10,10,10,8.5,9.5,10,78.0952381,85.97560976,95,95
"11",10,10,10,10,10,10,9.75,10,89.89473684,92.27941176,95,95.7
"12",10,10,10,9.9,10,10,10,10,87.89473684,94.11764706,94,95.7
"13",10,10,10,9.8,9.5,9,9,10,89.42857143,86.58536585,95.5,94
"14",10,9.9,9.9,10,10,10,9.8,9.8,86.15384615,60.42,95.13,94.17
"15",10,10,9.5,10,9.5,9,10,10,77.9047619,78.04878049,96.75,97
"16",10,9.9,9.5,10,10,10,10,10,84.76190476,88.41463415,96.5,96
"17",10,10,10,10,9.9,9.8,10,10,94.92307692,96.46,95.63,92.5
"18",10,10,10,9.9,10,7,8,8,76.92307692,84.71,98.88,94
"19",9.75,10,9.5,9.5,9.5,10,9.5,10,65.78947368,69.85294118,89,96.3
"20",10,10,9.5,9.9,9.25,9.5,10,10,68.47619048,68.90243902,96.5,89
"21",10,9.9,10,8.8,9.5,9.5,10,10,83.61904762,76.2195122,95,95
"22",0,0,0,10,9.9,10,9.75,10,74.10526316,83.82352941,90,96.7
"23",10,9.9,9.5,9.5,9.5,10,10,10,72.76190476,79.26829268,95.5,94
"24",10,10,9.75,10,9.5,10,9.75,10,91.42857143,92.68292683,96.75,97
"25",10,10,10,10,9.9,9.2,10,10,95.76923077,76.68,98.38,95.17
"26",10,10,10,10,10,10,9.9,10,93.07692308,85.3,95.5,92.67
"27",10,10,10,10,10,10,10,10,71.57894737,71.32352941,89.5,91.3
"28",10,10,10,10,9.25,10,10,10,93.80952381,95.12195122,96.5,96
"29",10,9.8,9.8,8,8,8,8,8,56.92307692,72.86,93.25,95.33
"30",10,10,10,10,10,10,10,10,93.84615385,94.53,99.63,97.5
"31",10,10,10,10,10,10,10,10,95.76923077,91.15,98.5,93
"32",10,10,9.9,9.95,9.9,10,10,10,90.42105263,91.17647059,90,96.3
"33",10,10,10,9,9.9,10,10,10,85.38461538,83.92,95.75,91.83
"34",10,9.9,10,10,10,10,10,10,88.84615385,93.08,99.13,92.83
"35",10,9.75,10,10,10,10,10,10,91.05263158,91.91176471,89.5,92.3
"36",10,10,10,10,10,10,9.5,10,89.52380952,91.46341463,96.75,97
"37",10,10,9.9,10,9.9,9,9,9,91.53846154,86.81,99.5,94
"38",10,10,10,10,9.5,10,10,10,94.76190476,92.68292683,95.5,94
"39",9,10,10,9.9,9.5,10,10,10,90,80.48780488,96.5,86
"40",9.75,10,10,10,10,10,10,10,87.36842105,89.70588235,93.8,95.3
"41",10,10,10,10,9.8,10,10,10,81.57894737,94.11764706,90,92.3
"42",10,10,10,10,10,8.9,10,10,76.92307692,69.45,97.75,93.33
"43",10,10,10,10,10,10,9,10,90.42105263,88.97058824,90.5,93.3
"44",9.75,10,10,10,9.5,9.5,10,10,85.33333333,82.31707317,95,95
"45",9.75,10,10,10,10,9.5,10,10,73.80952381,69.51219512,96.5,89
"46",10,10,10,9.8,9.9,9,7,8,74.23076923,78.79,98.63,93.83
"47",10,9.5,10,10,10,10,9.9,10,92.69230769,92.41,95.25,93.58
"48",10,10,10,10,10,10,9.9,10,91.15384615,89.45,92.13,93.67
"49",10,9.5,10,10,10,10,10,10,91.89473684,92.64705882,92.3,93
"50",9.5,10,9.5,9.5,9.5,10,10,10,74.94736842,79.41176471,89.5,92.7
"51",10,10,9.5,9.5,10,8.5,10,10,53.33333333,48.17073171,95.5,94
"52",10,10,10,10,9.7,10,10,10,64.73684211,76.47058824,90,91.3
"53",10,10,10,9.9,9.5,10,10,10,90.47619048,89.02439024,96.5,96
"54",10,10,10,9.8,9.5,9.5,10,10,81.33333333,76.2195122,96.5,86
"55",9,10,10,10,10,10,9.5,10,86.21052632,91.91176471,92,93.3
"56",10,10,10,10,10,10,10,10,93.38461538,100,98.88,94.167
"57",10,10,9.9,10,10,10,10,9,84.15384615,80.56521739,88.63,90.67
"58",10,10,10,10,10,10,10,10,94.23076923,91.64,99.63,97.5
"59",9.5,10,10,10,10,9.5,9.5,10,47.14285714,60.36585366,96.5,96
"60",10,10,10,10,10,10,10,10,95.38461538,100,89.13,93.67
"61",10,9,10,9,9,9,8,7,87.69230769,82.96,99.13,92.83
"62",10,10,10,10,10,9,9,10,95,97.74,92.63,94.08
"63",10,10,10,10,10,10,10,10,90.52631579,91.17647059,92.3,93
"64",9.5,9.5,9.9,10,9.7,10,10,10,82.10526316,83.82352941,96,94
"65",10,10,10,10,10,10,10,9.8,90.76923077,84.71,98.63,93.83
"66",10,10,10,9.8,10,10,9.8,9.8,88.30769231,80.06,99.5,93.92
"67",10,10,9.75,10,10,10,9.5,10,72.85714286,78.65853659,95.5,94
"68",10,10,10,10,10,10,10,10,98.07692308,93.08,98.88,92.67
"69",10,10,10,10,10,10,10,10,99.23076923,99.84,98.88,92.83
"70",9.5,10,10,10,9.9,6.5,10,6,94.23076923,85.3,87.5,90.33
"71",10,10,10,10,10,10,9.9,10,93.84615385,100,92.75,93
"72",10,10,9.5,9.8,9,9,9.75,10,71.42857143,84.14634146,94.5,91
"73",10,9.75,9.8,10,9.9,10,9.5,10,58.42105263,74.26470588,96.5,95.7
"74",10,10,10,9.9,10,10,10,10,84.73684211,90.44117647,89.5,92
"75",9.5,9.9,10,9.95,9.5,9,10,10,80,74.3902439,96.5,96
"76",10,9,10,10,9.8,10,10,10,88.94736842,87.5,93.8,95
"77",10,9.5,10,10,10,10,10,9.8,94.61538462,84.12,92.75,92.83
"78",10,10,10,10,10,10,10,10,88.84615385,78.79,95.75,92.67
"79",10,10,10,10,10,10,10,10,91.92307692,86.81,96.5,92.83
"80",10,10,10,10,9.5,10,10,10,81.80952381,88.41463415,94.5,91
"81",10,10,10,10,9.9,10,9,10,95,81.75,92.88,93.33
"82",10,10,10,10,10,10,10,10,95.38461538,100,95,93.33
"83",10,10,10,10,9.9,10,10,10,92.69230769,90.19,99.63,98
"84",10,10,9.9,9.7,9.7,10,10,10,65.57894737,75.73529412,91,96.3
"85",10,10,10,9.9,9.8,10,9.5,10,55.78947368,79.77941176,92.8,95.3
"86",10,10,10,10,10,10,10,10,100,83.44,98.38,92.67
"87",10,10,10,10,9.9,8,8.5,10,96.07692308,54.5,88,88.88
"88",9.5,10,9,10,9.5,9,10,10,84.28571429,87.19512195,95,95
"89",10,10,9.8,9.9,9.9,10,10,10,90.94736842,89.70588235,90,92
"90",10,10,10,10,10,10,10,9.8,90.76923077,93.6,95.5,92.33
"91",10,10,10,10,10,10,10,10,91.38461538,90.04,95.75,92.33
"92",10,10,9.9,10,9.9,10,10,9.8,95,92.12,95.75,93
"93",10,10,10,9.9,9.8,10,10,10,79.36842105,87.5,89.5,9
